Date, Start Time, End Time, Hours, Total Bandwidth, % Bandwidth share for Faculty, % Bandwidth share for students, Bandwidth allocation per faculty member, Bandwidth allocation per student
12/18/2017
1/5/2018
3/16/2016
6/5/2017
6/6/2017
2/23/2018
1/15/2018
2/23/2018
1/31/2018
2/22/2018
9/27/2017
4/26/2017
6/7/2017
2/6/2018
1/17/2018
1/3/2018
5/25/2017
9/19/2016
2/2/2018
1/9/2018
